genes,Fold.c,logCPM,F,p.val,FDR
Pde4b,-0.338,7.323,4.544,0.05536694100423663,0.09346057920930428
Kat5,-0.3,5.137,4.544,0.055367599619006266,0.09346057920930428
Larp4b,0.378,6.565,4.538,0.05549050792695979,0.0936530256480189
Bsg,-0.332,4.733,4.536,0.05555628656000808,0.09374900632953255
Sumf2,0.277,5.34,4.532,0.05564686084847925,0.0938867911990616
Atrnl1,0.882,2.295,4.531,0.05566556147595181,0.0939032868565952
Mapk1,0.303,5.378,4.53,0.05569392976364265,0.09393608317083052
Trim37,0.592,2.462,4.529,0.05571660045351578,0.09395926066864527
Metrnl,0.594,5.489,4.56,0.055728094329602934,0.09396358542387624
1110057K04Rik,0.297,6.327,4.525,0.0558060204386449,0.09407990276768027
Col4a5,-1.502,0.922,4.561,0.055821732769856545,0.09409131730533403
Slc25a22,-0.529,5.484,4.525,0.05593504306838801,0.09426720983482495
Bmf,-0.48,4.402,4.513,0.056076437629192066,0.09449036880256015
BC028528,-0.513,6.708,4.52,0.05626730843804025,0.09478247258822967
Als2,0.43,3.973,4.505,0.056267804452976404,0.09478247258822967
Chtf18,-0.906,2.336,4.504,0.056289654411574595,0.09480410265252873
Rdm1,0.359,5.008,4.5,0.056370989906129,0.0949247073065674
Ces1e,-2.962,1.964,4.582,0.0563793044441743,0.0949247073065674
Hgd,-1.181,3.943,4.577,0.056497857330282564,0.0950907669977465
Inpp5b,-0.608,7.032,4.542,0.05650033156514565,0.0950907669977465
Nfrkb,-0.473,4.658,4.495,0.05650504286200788,0.0950907669977465
Stard7,-0.376,5.209,4.488,0.056654339954182294,0.09532676996128243
Fmo1,-1.329,5.117,4.564,0.05678625336212566,0.09552352769008081
H2-T22,-0.465,6.687,4.483,0.05678943164773786,0.09552352769008081
Camk2n1,-0.964,2.059,4.474,0.05698042946941444,0.09582948047093626
Narfl,0.291,4.285,4.473,0.05701319546218036,0.09586926427748865
D17H6S53E,-0.239,4.697,4.471,0.057073110109410616,0.09595467929083366
Rxra,0.418,4.307,4.469,0.057115011184777645,0.09600978637338901
Ch25h,-0.819,6.655,4.545,0.05722301153740418,0.09617597035746753
Fbxo22,0.422,3.63,4.463,0.0572591834363597,0.09622139688610877
Zfat,-0.65,2.613,4.459,0.05734216976297801,0.09634546581763015
Mlec,-0.272,5.92,4.457,0.05739364584158569,0.09641656053496267
Mpp6,0.497,2.89,4.454,0.057479188506900564,0.09654485245939579
Tarbp2,0.31,4.521,4.453,0.05749961367780279,0.09656374636634515
Prorsd1,0.4,4.946,4.451,0.057547931289788835,0.09662946879885878
Ahsa1,0.435,7.386,4.449,0.057584515727828633,0.09666692121968179
1700123O20Rik,0.301,5.218,4.449,0.057588608678721384,0.09666692121968179
Mal2,-1.971,1.247,4.528,0.057603629869243125,0.09667671405327678
Nox4,-1.33,4.652,4.524,0.05771390475219227,0.09683220021051339
Rpl10a,-0.423,3.925,4.444,0.05771467829709589,0.09683220021051339
Fn3k,-2.183,1.027,4.522,0.0577450005696123,0.09686486603320184
Fopnl,0.248,5.811,4.442,0.05775255815758893,0.09686486603320184
Armc10,0.678,2.499,4.441,0.057778181162232475,0.09689239846536611
Paqr9,-1.39,1.401,4.471,0.05779695453101931,0.0969040228077961
Slc35f2,-2.418,0.812,4.52,0.0578087813752383,0.0969040228077961
Capn2,0.343,4.635,4.439,0.05782094312364182,0.0969040228077961
Tcn2,0.41,7.829,4.439,0.05782194803859657,0.0969040228077961
9430016H08Rik,-0.332,3.608,4.43,0.05805428145892078,0.0972778986930292
Ahcyl1,0.381,4.824,4.424,0.05819489574706713,0.09749799203094847
Kcnk1,-1.739,1.627,4.491,0.05837632753218554,0.09778638882858778
Acbd4,-0.457,3.845,4.413,0.05845024816065386,0.09789463017580145
Gmeb1,-0.264,4.319,4.406,0.05863610123552523,0.09819027582772628
Brcc3,0.295,5.597,4.401,0.05875405030057144,0.09836782561172881
Bcam,-1.282,3.86,4.479,0.058760824080141334,0.09836782561172881
Best1,0.765,1.938,4.399,0.058789984607414206,0.09840098743817714
Pcx,-0.999,4.215,4.475,0.05885815514386392,0.09849942216585242
Gtf2ird2,-0.881,1.935,4.396,0.0588820203879503,0.09852369224716187
Zfp560,-0.389,3.668,4.394,0.0589280582852943,0.09858504886107344
Stambp,0.29,5.209,4.392,0.058981926253786544,0.09865948338397645
Jak1,0.279,7.001,4.386,0.05913129735797881,0.09889361762524015
Uck1,-0.566,1.667,4.383,0.05919932778240002,0.09899166156907602
Pex3,0.359,4.606,4.382,0.05921914729819444,0.0990090700697331
Pebp1,-0.494,3.959,4.38,0.05927193350807716,0.09908158162120667
Abhd17b,0.509,3.169,4.377,0.05935505901301079,0.0992047785886138
Asb1,-0.654,2.032,4.367,0.059591049909550164,0.0995833918053353
Ly6c1,-1.239,2.599,4.418,0.05963060182442041,0.09963366513153
Setd7,-0.42,3.342,4.365,0.059650872021567256,0.09963797040443506
Mtus1,0.416,5.963,4.365,0.059652115703500985,0.09963797040443506
Cox19,0.234,5.028,4.364,0.059662741968154104,0.09963990378207993
Smim11,0.302,4.203,4.364,0.059674813207240815,0.09964424934620678
Ube2z,0.279,4.449,4.362,0.05971551938513244,0.0996777423115457
Anapc11,0.251,6.179,4.362,0.059719364664128555,0.0996777423115457
Dock7,-0.287,4.691,4.362,0.05972328853694722,0.0996777423115457
Cul3,0.316,5.015,4.36,0.059766365241174124,0.09973381881269827
Gng2,0.307,7.27,4.358,0.0598152036646097,0.09979949075038654
Wasl,-0.563,3.541,4.357,0.059853634799846095,0.0998477804373463
Ifi47,-1.126,1.736,4.356,0.059867737851849866,0.09985547716199336
Rpia,-0.62,1.985,4.353,0.05994569343775935,0.09996965642560089
Epb4.1l3,-1.617,2.369,4.424,0.06010863170078701,0.10022550014060873
Rftn2,-0.692,1.859,4.346,0.06013077006836349,0.10024652937727963
Tec,-0.262,6.117,4.344,0.06017205730727889,0.10029947078164039
Cttnbp2,-1.998,0.898,4.42,0.06019307680132846,0.10031861691168505
Ctla2b,0.548,4.438,4.341,0.06025946912471332,0.10040309878488951
Map4k3,0.381,4.564,4.34,0.06026285013070057,0.10040309878488951
Cwf19l2,-0.272,4.912,4.339,0.06031030186452945,0.10046155534715748
Fkbp4,-0.397,4.693,4.338,0.06032560999467346,0.10046155534715748
Slc16a12,-1.268,2.898,4.409,0.0603265768543845,0.10046155534715748
Dnajb9,-0.498,3.998,4.337,0.06034496385355924,0.100476274466931
Trim41,-0.527,4.268,4.334,0.06041889802110143,0.10056961077796003
Rreb1,-0.359,5.525,4.334,0.0604201348796221,0.10056961077796003
Stab1,0.581,8.813,4.359,0.060481493942779754,0.10065582172384491
Dppa3,0.536,3.674,4.33,0.06052581989366052,0.10071366267251576
Nup43,0.566,2.189,4.324,0.0606851754193117,0.10095709148239004
Ppp2cb,0.474,3.087,4.324,0.06069130102799577,0.10095709148239004
Zfp668,0.515,3.088,4.321,0.06076262882905112,0.1010545799069606
Ppp1r18,0.295,7.489,4.321,0.06076911352762964,0.1010545799069606
Cbr3,0.694,1.516,4.318,0.060844153918158735,0.10116337994640297
Sin3a,-0.313,3.443,4.317,0.0608640067970006,0.10118040182066941
Rnaseh1,-0.442,3.412,4.316,0.060889385102763344,0.10120660234344947
Faah,-1.805,1.482,4.391,0.06091677507199782,0.10123613772625285
Ifi44,-0.968,5.515,4.386,0.0610476723620336,0.10143765297105314
Sat1,-0.31,10.809,4.308,0.061091055691605424,0.10149371314221091
Pecr,-0.486,3.152,4.304,0.061200286725485616,0.10165913452443333
Fam161a,-0.8,2.741,4.296,0.061398648405564485,0.10197253427584517
Thap3,-0.342,4.949,4.293,0.06148190312448225,0.10209469253257483
Eif2a,0.331,6.282,4.292,0.06149457623813207,0.10209962539505582
Timm50,0.493,2.834,4.292,0.06150815755057043,0.10210606434842288
Arhgap18,-0.259,7.028,4.291,0.06153128060405229,0.10212833845369751
Wwp2,0.267,7.24,4.29,0.06154479231215173,0.10213465533839657
Gm14636,-0.652,1.677,4.289,0.06159404160624245,0.1021865754022854
Sdf2l1,-0.578,3.626,4.288,0.061595500121324365,0.1021865754022854
Ubb,0.472,10.685,4.287,0.06162478919745125,0.10221905055560837
Gnl3,0.357,5.007,4.284,0.06170302789760901,0.10233269701600309
Ywhah,0.327,6.456,4.282,0.061764963736986936,0.10241927409459715
Zbed4,0.577,2.151,4.281,0.06179881756154928,0.10244319025495131
Mbd1,0.206,5.521,4.281,0.06179885695509179,0.10244319025495131
Cnst,-0.659,3.09,4.279,0.061835643863037894,0.10248802651925465
Ptpn4,-0.474,2.524,4.273,0.06198830085069724,0.10272486454360424
Zfp52,-0.424,4.537,4.272,0.06203744191435617,0.10279011199256338
Aida,0.486,3.946,4.269,0.06209572180148099,0.1028704786708099
Csf3r,0.303,6.823,4.268,0.062125826568535665,0.10290415126408009
Cyb561d2,0.285,5.24,4.266,0.0621843658384491,0.10298490426786275
Elmo1,0.286,6.424,4.265,0.06221231614675436,0.10301272432363429
Ipo8,-0.41,4.705,4.264,0.06223001226841692,0.10301272432363429
Casp4,0.656,4.898,4.299,0.06223053202749627,0.10301272432363429
Lama5,-1.38,1.246,4.292,0.06227352535743544,0.10306767966912443
Gapvd1,-0.232,6.418,4.26,0.06234941174702906,0.10317704982135348
Ybey,-0.496,2.727,4.259,0.06236269932629017,0.10318281210857728
Cpeb4,0.323,4.444,4.258,0.062394854796876294,0.10321978572984267
Tlr1,-0.328,6.949,4.256,0.062450848848196704,0.10329617768462337
Mcm9,-0.504,3.47,4.251,0.06257505466267846,0.10348535285484291
Unc119b,-0.766,2.583,4.248,0.06265008739427888,0.10358469162044087
Hexb,-0.67,7.885,4.308,0.06265480967063633,0.10358469162044087
Vcp,-0.357,4.323,4.247,0.06268980007056588,0.10362625921183864
Evi5,0.356,3.765,4.24,0.06288459579038887,0.10393193050137617
B4galt1,0.397,7.189,4.236,0.062979739228516185,0.10405903135774522
Rras,0.748,1.861,4.236,0.06298474667397644,0.10405903135774522
Rab21,0.515,3.357,4.236,0.0629911650431281,0.10405903135774522
Kctd6,-0.449,2.777,4.232,0.06307420589883495,0.10417706138603508
3010026O09Rik,0.676,1.431,4.232,0.06308241329961185,0.10417706138603508
Tmem192,0.472,2.336,4.227,0.06322144697168902,0.10439028502794344
Ino80d,-0.321,4.714,4.225,0.06326158889151175,0.10444017883673959
RP23-273G4.1,-2.937,0.982,4.297,0.0633124681152589,0.10450778070225403
Bmi1,0.396,3.39,4.223,0.06333737364414464,0.10453249417461324
Alg2,-0.485,2.954,4.222,0.06335036087596126,0.10453753293049088
Mtch1,0.537,3.986,4.222,0.0633609761904155,0.1045386567030013
Mical2,0.83,2.611,4.219,0.06344092885937037,0.10465416121447789
Ube2q1,0.298,4.529,4.213,0.06360126013671105,0.1049022038273684
Atp5sl,-0.411,5.219,4.21,0.06367150711596815,0.10500160936864644
Pigz,-0.463,4.365,4.209,0.06371807467283067,0.10506193979664635
Med6,0.3,4.585,4.207,0.0637667068901222,0.10512565511589471
Acsl4,0.296,7.601,4.199,0.06398690320241866,0.10547214636576623
Trim12a,-0.538,2.582,4.198,0.06401073134621615,0.10549431568771808
Ifit1,-0.752,6.308,4.27,0.06402040292518936,0.10549431568771808
Chm,-0.253,5.47,4.197,0.06404283464473474,0.105514756374909
Mocos,0.665,1.143,4.196,0.06405995596240323,0.10552644279780357
Ireb2,-0.265,5.378,4.193,0.06413028100635981,0.105625754739384
Pom121,-0.358,4.279,4.192,0.06416287768640132,0.10566290483474196
Mtg1,0.514,4.22,4.191,0.06418787356634557,0.10568752832712479
Spred2,-0.426,2.39,4.189,0.06424612586490043,0.10576689337865257
Adss,0.498,3.859,4.188,0.06427047848883177,0.1057904340900949
Gm4450,-1.315,0.786,4.199,0.06428869051710913,0.10580386148131676
Myo7a,-0.454,5.308,4.187,0.06430122905328793,0.1058079489175526
Ace2,-1.098,1.63,4.186,0.06432928019931818,0.10583755715094201
Phtf1,0.539,2.496,4.184,0.06439707423041507,0.10593253276952601
Wdfy2,-0.576,1.506,4.18,0.06449114940728394,0.10607070415955751
Fbxo45,-0.345,2.898,4.174,0.06465644966786008,0.10632596028362114
Xbp1,-0.298,6.249,4.173,0.0646906301194385,0.10636554699169552
Ep300,-0.509,5.266,4.164,0.06492552851473904,0.10672856976560399
Cmbl,-1.028,2.79,4.193,0.06493803129997533,0.10672856976560399
Abr,0.29,5.556,4.164,0.06494184474096383,0.10672856976560399
Hnf4a,-1.135,3.326,4.232,0.06504232059073477,0.1068737890308476
Klhl5,0.409,4.13,4.16,0.06505051969424869,0.1068737890308476
Pdzd11,0.282,5.142,4.159,0.06509114421099736,0.10691735629647642
2310011J03Rik,0.258,6.176,4.158,0.065097358338071315,0.10691735629647642
Cdpf1,0.293,4.295,4.157,0.06512947980001423,0.10695342008981737
Wdr37,-0.307,5.875,4.156,0.06516440020195356,0.10699406823609882
Tsc22d3,1.114,9.405,4.223,0.06527805802367617,0.10715756278322543
Arnt2,-2.048,1.864,4.223,0.06528434239316337,0.10715756278322543
Gnpat,-0.392,4.268,4.151,0.06530451834683246,0.10717396234618184
5031420N21Rik,0.288,3.644,4.15,0.0653397294777336,0.10720446619803718
Gbp9,-0.725,3.114,4.149,0.06534348058483422,0.10720446619803718
Sorbs1,-0.694,2.397,4.147,0.06540892186697451,0.10727919997563307
Mcph1,0.411,3.545,4.147,0.06540942193705804,0.10727919997563307
Ikzf3,-2.375,2.25,4.217,0.06542672397430127,0.10729085497609044
Atp6ap1,0.302,10.336,4.144,0.0654903867248858,0.10737827543936865
Krt80,0.467,3.987,4.144,0.06550044189350065,0.10737827543936865
Clasrp,-0.639,1.176,4.139,0.06562699599578616,0.10756898424667566
Klhdc3,-0.531,3.097,4.139,0.06563999963149816,0.10757354245791236
Ifi204,-0.352,7.592,4.137,0.06570552558099454,0.10766416158343282
Myd88,0.322,4.181,4.136,0.06573086596531293,0.10768891523477937
Actn4,0.321,6.092,4.131,0.0658603891015539,0.10788432044141527
Znhit6,0.387,3.958,4.13,0.06587921046793856,0.10789835513682762
App,0.257,7.559,4.129,0.06591294447967373,0.10793680590719058
Spry2,-0.955,2.076,4.128,0.06596067930056024,0.10799816839579826
Elovl1,0.296,7.506,4.127,0.06597762726629283,0.10800911196689475
3110057O12Rik,-0.466,2.937,4.125,0.0660196243466848,0.10806105257429838
Kbtbd7,-0.631,2.873,4.118,0.06622461595117705,0.1083797252961487
Vps13c,0.31,3.843,4.118,0.06623710250236614,0.10838330425010091
Card10,-1.019,1.43,4.117,0.06626383947495237,0.10841019633005657
Sec62,-0.232,6.989,4.114,0.06634835713454315,0.10853159678638234
Zfp455,-0.55,3.33,4.109,0.06648911533148956,0.10874494259143062
Ammecr1,0.389,3.852,4.109,0.06649944967225013,0.1087449431081722
Stx5a,0.214,6.744,4.106,0.06656522511328879,0.10882054370217968
Cd3g,-1.579,4.363,4.176,0.06656636318644214,0.10882054370217968
Ppwd1,0.446,3.213,4.105,0.06658998991034146,0.10884225905972711
Dnajc8,0.354,7.073,4.104,0.06662604145884175,0.10888427306590957
Mgat5,0.333,5.285,4.099,0.0667711095968328,0.1091044078086136
Lancl1,0.427,3.361,4.099,0.06678576517047884,0.10911141234108815
Il18bp,1.326,5.873,4.167,0.06680524886274186,0.10912630142543195
Nifk,0.305,5.238,4.095,0.06690093791825305,0.10926564794564285
Alkbh2,0.434,1.964,4.094,0.06692679995824848,0.1092909242645327
Serac1,-0.611,1.633,4.092,0.06698781383503673,0.10937358649900566
Cd80,0.793,2.683,4.09,0.06704100035979554,0.10944344504904259
Parp3,-0.7,3.929,4.103,0.06708069598504425,0.10949126164892518
Hspa4,0.246,5.318,4.086,0.06714214291458374,0.10957456108718436
Smchd1,-0.445,3.688,4.085,0.0671733520837725,0.10960849495697596
Nob1,0.277,5.497,4.08,0.06730983988047336,0.10981417752902653
Med24,0.317,5.031,4.079,0.0673602195530447,0.10986473488911118
Gstt1,-1.197,4.618,4.148,0.06736170954143736,0.10986473488911118
Mlh1,-0.275,4.43,4.077,0.0674116388307269,0.10992912992650537
Dhx29,0.514,2.64,4.073,0.06752551732806543,0.11009777174515534
Fry,-0.765,1.783,4.07,0.06761370385018713,0.11022447801944525
Arhgap31,0.411,4.536,4.069,0.06763698943445964,0.11024535932757416
Mtif2,-0.267,5.042,4.066,0.06773655757737951,0.11039055217388333
Col4a2,-1.017,1.518,4.063,0.06780544001456787,0.11048569917517771
Pah,-1.362,5.43,4.13,0.0678673321733755,0.11056942815612794
Cela1,0.83,3.381,4.081,0.06796923361871196,0.1107183042367966
Wbp11,0.265,6.535,4.057,0.06798321256928024,0.1107239352834756
Slc5a10,-1.405,2.452,4.122,0.06800057404793647,0.11073507284222153
Akr1e1,-0.393,5.308,4.055,0.06804320959498326,0.11078588614659121
Evc,-1.579,2.151,4.123,0.0680528336074851,0.11078588614659121
Ttpal,-0.355,4.381,4.053,0.06811416352350319,0.11086857583261008
Gpd1,-0.871,2.529,4.051,0.06816197917931104,0.1109174998720531
Senp8,-0.403,3.869,4.051,0.06816530187898578,0.1109174998720531
Card9,0.699,3.596,4.048,0.06826501869106702,0.11105445929458363
Amacr,-1.15,1.624,4.05,0.068270578463999,0.11105445929458363
Rnf157,0.628,2.149,4.045,0.06834137580839882,0.11115244167415468
Dph1,0.432,3.57,4.043,0.06839543403320007,0.11122317297656689
Cpsf1,-0.255,6.035,4.041,0.06847067154688365,0.11132831840047228
Clcn6,-0.321,4.283,4.039,0.06852414148989552,0.11139804432228806
Klrk1,-1.514,4.39,4.105,0.06858757725301244,0.11148394739472503
Elmo2,0.355,6.334,4.033,0.0687061424319084,0.11165941881250534
Apool,0.252,4.657,4.032,0.068739321702578,0.11169609053060968
Fahd2a,-0.479,3.988,4.028,0.06885208553889306,0.11186204973379214
Zkscan1,-0.332,4.983,4.022,0.06902451391513979,0.1121248780378228
Ube2e3,0.284,5.241,4.021,0.06905925783476394,0.11216400219095862
Slc16a3,0.552,4.191,4.018,0.0691365363527111,0.11227218704314489
Miox,-1.401,7.409,4.08,0.06930407513409949,0.11252689131864356
Ccp110,-0.587,2.945,4.01,0.06937691745731948,0.11262778500514856
Pfkl,0.291,6.452,4.008,0.06943731484371764,0.1127084473392628
Taf4a,-0.44,3.454,4.002,0.06963915939961313,0.11301864194357325
Asb9,-1.81,2.163,4.066,0.06970704554770314,0.11311137090184736
Coil,-0.349,3.193,3.999,0.06972534203713761,0.11312361613580005
Ints7,0.268,4.873,3.998,0.06974849420421388,0.11314373431647026
Gpam,-0.665,1.49,3.992,0.06992218863214782,0.1134080134056861
Pfdn2,0.255,5.638,3.99,0.06999822574667403,0.11351384335525516
Ube3c,-0.385,4.521,3.988,0.0700394784566489,0.11356324064704414
Cryz,-0.772,5.145,4.051,0.07015387875179187,0.11373120722617559
Osgep,0.359,3.164,3.984,0.07016784879904012,0.11373633285771707
Mterfd1,-0.22,5.727,3.983,0.07020623657131868,0.11378102994609371
Nmnat1,-0.33,3.611,3.982,0.07024510376073698,0.11382649012538269
Cdip1,-0.33,5.764,3.979,0.07031088219358766,0.11391553707823295
Pitpna,0.275,6.447,3.969,0.07061694289323234,0.11439379465293778
Fam45a,0.322,6.264,3.968,0.0706745141645863,0.11446943397782693
Pkn2,-0.394,4.363,3.964,0.07078396268928784,0.11462906115410525
Suco,-0.383,3.733,3.963,0.07081230576145756,0.11464192222433756
Xpo6,-0.343,5.311,3.963,0.0708170958319916,0.11464192222433756
Kif21a,-1.771,2.189,4.028,0.07082458770126565,0.11464192222433756
Stambpl1,-0.345,3.484,3.96,0.07090656736287389,0.11473559217187569
Rangap1,0.495,5.583,3.967,0.07091200727848056,0.11473559217187569
Ccdc71,-0.457,3.982,3.96,0.07092166847020011,0.11473559217187569
Slc16a13,-0.366,4.69,3.959,0.07092606928423942,0.11473559217187569
Eral1,-0.293,5.718,3.957,0.07099282955084371,0.11482593688341967
Ngfrap1,-0.622,3.226,3.955,0.07106372649458995,0.11492294358422775
Hace1,-0.75,2.097,3.951,0.07118863642409853,0.11510725585291777
Rbm25,-0.23,7.897,3.95,0.0712142960411222,0.11513105503775217
Ipp,-0.336,3.884,3.949,0.0712603791007099,0.11518786010395857
Hif1a,0.691,1.394,3.947,0.07131366160788906,0.1152562833819408
Lmbrd1,-0.218,7.353,3.947,0.07132625799686941,0.11525893932755786
Bcl10,0.297,6.321,3.945,0.07138715333110131,0.11533963066224152
AI413582,0.342,5.857,3.944,0.07140522507747937,0.1153511181286944
Mtm1,0.428,4.932,3.938,0.07159310977709409,0.11563688322093033
Med17,-0.318,3.525,3.935,0.0716979199567595,0.11578839958639967
Igsf5,-1.194,2.664,3.981,0.07181393628145989,0.11595796401562106
Nhej1,0.418,2.727,3.93,0.07184284493838876,0.11598684524189397
Fam135a,-0.927,1.785,3.929,0.07185816949382332,0.11599379008797403
Dcaf12,0.311,4.147,3.924,0.07203799354230188,0.11626622792111084
Mblac2,-0.459,2.413,3.921,0.07211372168528014,0.11636272648566667
Tle3,0.675,3.841,3.928,0.07211989947158777,0.11636272648566667
Slc35a2,-0.277,5.086,3.918,0.07220477707412941,0.11648181345256228
Exoc6,-0.273,6.326,3.915,0.07232453208905122,0.11665712004492429
Tecpr1,-0.224,5.481,3.911,0.07243156890471708,0.1168118620052625
Fah,-1.067,4.649,3.97,0.07260271093120639,0.11706460303023881
Hook1,-1.541,1.332,3.955,0.07261053539659496,0.11706460303023881
G3bp1,0.302,7.224,3.905,0.07262731018191042,0.11707371094427747
Mov10,-0.54,5.425,3.92,0.0727996488908243,0.11733354346425856
Mrps12,0.238,4.727,3.894,0.0729765871802261,0.11760070856011014
Rrp1b,0.384,4.154,3.893,0.07301057127400758,0.11763745850809704
Plk4,0.729,2.039,3.891,0.07308781039701268,0.11774388071153771
Marc2,-0.461,3.998,3.885,0.07325577446547725,0.11799640512784587
Lck,-1.618,4.818,3.945,0.07336644575774551,0.11815658229396327
Slc23a2,-0.374,5.484,3.88,0.0734420254841448,0.11826020415756018
Pex26,-0.877,1.806,3.878,0.07349443198381753,0.11831436369090682
Hnrnpf,0.311,5.697,3.878,0.07349814648365086,0.11831436369090682
Chdh,-1.357,2.055,3.921,0.07357673879731524,0.11842276267423499
B3galnt1,-0.48,4.695,3.873,0.07365496085627689,0.11853053266410793
Hba-a2,-2.042,1.652,3.934,0.0737123961570514,0.11860482335789785
Thoc7,0.332,4.861,3.87,0.07375077760529765,0.11864843796675542
Cnih4,0.316,6.641,3.87,0.07376874061687326,0.11865919558412677
Sidt2,0.406,4.981,3.868,0.07383247865734485,0.11873118388853772
Cald1,0.881,2.167,3.867,0.0738360607589652,0.11873118388853772
Aldh2,0.593,4.731,3.884,0.07385821890641256,0.11874866883914123
Acer3,-0.304,8.125,3.861,0.0740384563782214,0.11902026832692084
Vldlr,-1.455,2.286,3.922,0.07408795982734556,0.119081655913114
Lsm14a,0.287,4.925,3.857,0.07417848644379603,0.11920895125963128
Cd302,0.321,7.288,3.855,0.07424288109035916,0.11929421861564353
Gnl3l,-0.268,5.215,3.851,0.07437891210348643,0.11949454840686835
Abca5,-0.921,2.256,3.848,0.07446198818883415,0.11960975449719154
Cdk5rap3,0.23,6.375,3.844,0.07459367164675605,0.11980299248150396
Zfp11,-0.838,2.445,3.842,0.07467439797476462,0.11991434303196218
Camkk1,0.769,2.339,3.84,0.07471901806452357,0.11996768799099504
Ctc1,-0.244,5.384,3.836,0.07486585748146954,0.12018511339092355
Cdc7,-0.656,3.677,3.835,0.07488307047042264,0.12019440978649443
Sash3,0.278,7.487,3.835,0.07489582099710858,0.12019654176491895
Hp1bp3,-0.196,6.388,3.833,0.07495755819954851,0.12027727736106267
Pparg,0.382,5.47,3.83,0.07505626328771983,0.12041729815165053
Atg3,0.266,4.215,3.826,0.07518915296487656,0.12061211229411525
Ttll5,-0.415,3.288,3.825,0.07521462335033105,0.12061669503910594
Spg11,-0.318,3.397,3.825,0.07521493422470904,0.12061669503910594
Oplah,-0.659,4.648,3.854,0.07522667764015184,0.12061714594047201
C330018D20Rik,-0.59,3.979,3.824,0.0752487644076384,0.12063417852857691
Nop58,0.348,5.872,3.823,0.07529208389583827,0.12068018953376168
Gstt3,-0.941,1.201,3.823,0.07530040145193188,0.12068018953376168
Lsm11,-0.562,2.357,3.818,0.07545036504647538,0.12089474280863421
Tmco4,-0.305,4.608,3.818,0.07545725275749401,0.12089474280863421
Grina,-0.322,5.732,3.817,0.07548481384488172,0.12092048958588679
Dhdds,0.286,5.274,3.816,0.07551817838115131,0.12095552376025194
Sipa1l2,0.449,3.127,3.816,0.07553992840797169,0.12097194744134623
Ptk2b,0.21,6.467,3.811,0.07568871446058935,0.12119177453876775
Ugt3a2,-1.373,5.995,3.868,0.07584627457226382,0.12142558151893082
Wdr75,0.336,4.808,3.806,0.07586064595566351,0.121430115210138
Gpc3,-1.489,1.413,3.851,0.07587828144346773,0.12143225009865033
Tmem129,-0.313,5.446,3.805,0.07588942833421182,0.12143225009865033
Kri1,-0.296,3.815,3.805,0.07589659877400201,0.12143225009865033
Arl14ep,-0.204,5.935,3.801,0.07602263789643625,0.12161541784496786
Gimap9,-1.551,2.29,3.861,0.0760557929663269,0.12164996342676061
Eif5a2,0.517,2.543,3.8,0.07608048725918838,0.1216709676942917
Ddb1,0.218,7.664,3.798,0.07612633077285708,0.12172578312152789
E430025E21Rik,0.333,5.401,3.792,0.07634219938537203,0.12205241022975839
Fkbp2,0.319,6.962,3.791,0.07636268324536118,0.12206661336638853
Abcb8,0.365,5.22,3.791,0.07637618425230958,0.12206965171431555
Ubr3,-0.354,4.581,3.789,0.07642012380323339,0.12212133071851555
Midn,0.597,2.327,3.788,0.07646563778952979,0.12216407552453537
Btbd1,-0.394,3.891,3.788,0.07647660923860103,0.12216407552453537
Cnppd1,0.272,7.454,3.788,0.07648170004329935,0.12216407552453537
Klf9,1.088,3.625,3.847,0.0765324720278473,0.12221731645112077
Gorab,-0.436,3.535,3.786,0.07653826051628679,0.12221731645112077
Tmed5,0.237,7.927,3.785,0.07657646859120826,0.12225977529741838
Ms4a4b,-1.59,4.815,3.842,0.07667916317612411,0.12240516294028429
Nupl1,-0.355,3.702,3.781,0.07670434736455665,0.12242679316202483
Pik3r2,-0.615,2.209,3.779,0.07678735801927548,0.12254069888335395
Ppa1,0.511,4.091,3.777,0.07684580472438744,0.12261537575659273
Cct3,0.368,7.423,3.77,0.07709511028735387,0.12298018921129832
Zfp949,-0.522,3.539,3.769,0.07709781509331322,0.12298018921129832
Rcsd1,0.404,5.636,3.763,0.07731538498220851,0.12330315719272376
AI987944,-0.239,5.26,3.763,0.07732372273256524,0.12330315719272376
D17Wsu104e,0.294,6.502,3.762,0.07736839340059197,0.1233556975385499
Larp7,0.276,5.07,3.756,0.07755304187558087,0.12361789432828693
Nampt,0.358,7.106,3.756,0.07755633739003615,0.12361789432828693
Dnajc27,-0.488,2.006,3.756,0.07757707748238106,0.1236322257075717
Tcp11l1,0.529,1.57,3.753,0.07767368599161599,0.12376744362352742
Ifngr2,0.236,6.696,3.745,0.0779275713519556,0.12415319202674167
Zfp111,-0.283,3.777,3.742,0.07804837780429331,0.12432683615418991
Efemp1,-1.588,3.186,3.799,0.07812364555804453,0.12442789801835971
Ifi35,-0.468,6.844,3.75,0.07815822393466831,0.1244641329395452
Erlin2,-0.296,6.634,3.738,0.07819431798874633,0.12450277019149307
Rtp4,-0.594,8.166,3.768,0.07844462712898598,0.12488242228113759
Zfr,-0.234,6.914,3.729,0.07848636362675057,0.12491656372121802
Zfp706,-0.325,5.359,3.729,0.07848981462745354,0.12491656372121802
Sat2,-0.962,2.27,3.729,0.07851627896688174,0.12493978581105346
Aspa,-0.855,2.358,3.726,0.07860976980527914,0.1250696413155356
