genes,Fold.c,logCPM,F,p.val,FDR
Cdkn2d,1.718,4.526,103.943,4.193576383422714e-7,3.394538790981325e-5
Lamtor1,1.164,6.431,103.72,4.240826154583133e-7,3.406581192723535e-5
Ftl1,2.054,10.768,103.145,4.3656469029288303e-7,3.480280481781824e-5
Trerf1,-1.872,5.774,102.786,4.445556799415253e-7,3.484300147234035e-5
Prrc2a,-1.329,5.405,102.68,4.4696838620153863e-7,3.484300147234035e-5
Plaur,5.431,6.127,117.213,4.4700229960714125e-7,3.484300147234035e-5
Cpd,1.561,6.598,102.472,4.517199494545593e-7,3.4951831089046525e-5
Rps26,1.722,6.216,102.057,4.6137454917558495e-7,3.525431184998082e-5
Slc2a4rg-ps,-3.316,4.292,102.011,4.6244918281163334e-7,3.525431184998082e-5
Mdm4,-1.345,6.191,101.875,4.656798771402959e-7,3.525431184998082e-5
Ell2,2.677,4.258,101.429,4.7642663906391284e-7,3.581026802049682e-5
Gm20429,-4.129,3.576,100.811,4.918433020636516e-7,3.6074246238174125e-5
Txnrd1,2.055,5.088,100.789,4.923885483974284e-7,3.6074246238174125e-5
Trappc1,1.04,6.038,100.785,4.925060692417791e-7,3.6074246238174125e-5
Asna1,1.124,5.901,100.696,4.947626252448619e-7,3.6074246238174125e-5
Hint1,1.32,7.748,100.606,4.970793219172525e-7,3.6074246238174125e-5
Lpl,2.329,10.449,100.065,5.112046718491933e-7,3.641128626851304e-5
Ccdc137,-1.938,4.461,99.961,5.13973854144703e-7,3.641128626851304e-5
Abcc5,-1.407,7.284,99.915,5.152170065287214e-7,3.641128626851304e-5
AW549877,-1.27,5.723,99.635,5.227792514423452e-7,3.641128626851304e-5
Zc3h7a,-1.373,7.491,99.632,5.228650279665397e-7,3.641128626851304e-5
Txndc17,1.247,6.998,99.566,5.246692361331123e-7,3.641128626851304e-5
2810008D09Rik,-3.655,2.278,99.519,5.259446462809067e-7,3.641128626851304e-5
Cebpb,3.799,3.5,98.802,5.460999846326241e-7,3.736519026863515e-5
Ldha,1.343,8.53,98.743,5.477916049559404e-7,3.736519026863515e-5
Tceb2,1.089,5.757,98.653,5.503757950811031e-7,3.736519026863515e-5
Gabarap,1.142,8.791,98.02,5.690888339330365e-7,3.8275847830176564e-5
Hmga1,2.694,2.949,97.851,5.741928993467709e-7,3.8275847830176564e-5
Asf1b,1.923,5.211,97.79,5.76072550924046e-7,3.8275847830176564e-5
Smim3,1.431,5.226,97.463,5.861769249050656e-7,3.8275847830176564e-5
Mob3c,-1.328,5.209,97.315,5.908075929774691e-7,3.8275847830176564e-5
Map3k14,-1.059,6.88,97.305,5.911196656122536e-7,3.8275847830176564e-5
Caml,-1.411,4.662,97.194,5.946166245045892e-7,3.8275847830176564e-5
Taok2,-1.726,6.001,97.163,5.95615907995749e-7,3.8275847830176564e-5
Eif3i,1.214,7.477,97.089,5.979592058720606e-7,3.8275847830176564e-5
Cct2,1.109,7.339,97.02,6.001629660723305e-7,3.8275847830176564e-5
Lyz2,2.737,13.404,96.796,6.074857919444003e-7,3.830150437734448e-5
Nsf,0.873,6.967,96.734,6.094266188161883e-7,3.830150437734448e-5
Eef1b2,1.115,7.636,96.671,6.114846275200867e-7,3.830150437734448e-5
E130102H24Rik,-2.931,2.639,96.469,6.181518207736528e-7,3.847070824295078e-5
Tmcc3,-1.914,5.381,96.369,6.214977099022744e-7,3.847070824295078e-5
Npm1,1.282,8.28,96.072,6.315130650436155e-7,3.886205838277173e-5
Txn1,1.973,6.877,95.446,6.532353496715246e-7,3.9965090608101474e-5
Stard9,-1.334,6.574,94.94,6.714687580174922e-7,4.068063302509903e-5
Taldo1,1.43,8.351,94.846,6.749166996915146e-7,4.068063302509903e-5
Abhd5,1.819,4.334,94.659,6.818425867233338e-7,4.068063302509903e-5
Pkm,1.606,9.269,94.598,6.841242162313803e-7,4.068063302509903e-5
Fam208a,-1.233,4.337,94.502,6.877243884757486e-7,4.068063302509903e-5
Meis1,-1.574,3.385,94.491,6.881262642276563e-7,4.068063302509903e-5
Klhl18,-1.061,6.038,94.3,6.953796612579056e-7,4.084192908641924e-5
Cdh23,-1.738,3.129,94.215,6.9861705174907e-7,4.084192908641924e-5
Cd84,1.779,8.109,94.055,7.047934836883229e-7,4.0975369220178025e-5
Snx29,-2.474,5.744,94.356,7.189076203518263e-7,4.156629059869378e-5
Zkscan3,-1.463,5.072,93.166,7.402350701336799e-7,4.256553903287822e-5
Firre,-2.046,3.179,93.028,7.459195926664115e-7,4.2659303661025266e-5
Sema4c,-2.242,2.939,92.908,7.508908806430806e-7,4.2682581765946244e-5
Cd9,2.483,9.043,92.823,7.544388680477051e-7,4.2682581765946244e-5
Il17ra,3.077,3.341,92.412,7.719388134133044e-7,4.339544043885183e-5
Lgals3,2.887,9.958,95.467,7.78685842108386e-7,4.339544043885183e-5
2610203C22Rik,-2.477,1.883,92.239,7.794106474335263e-7,4.339544043885183e-5
Rcc1,1.649,4.502,92.077,7.86537847988914e-7,4.356177775993338e-5
AB124611,1.625,7.375,91.578,8.088460881119991e-7,4.432808876699154e-5
Cdkn1a,2.448,6.497,93.702,8.110622690769231e-7,4.432808876699154e-5
Car13,2.753,2.85,91.487,8.130116061987425e-7,4.432808876699154e-5
Smpdl3b,-2.149,7.07,91.319,8.207835633464768e-7,4.4521162046881315e-5
Fam96a,1.613,7.199,91.215,8.256027155501237e-7,4.4552909619148466e-5
Ola1,1.335,6.053,91.086,8.316442344222164e-7,4.464996060624992e-5
Eif3b,1.243,4.721,90.939,8.385881739808809e-7,4.474103134084526e-5
Eef1g,1.174,8.167,90.841,8.432701223332757e-7,4.474103134084526e-5
Prdm9,-1.353,4.082,90.782,8.460957176497393e-7,4.474103134084526e-5
Mmp14,4.209,5.777,102.681,8.534028447297976e-7,4.4836546454566556e-5
Clec7a_1,1.766,8.996,90.407,8.643071576781721e-7,4.4836546454566556e-5
Timm13,0.973,5.939,90.4,8.646264758548682e-7,4.4836546454566556e-5
Tspo,1.145,7.494,90.394,8.649452561319977e-7,4.4836546454566556e-5
Psmb6,1.264,7.746,90.152,8.769852446194993e-7,4.5135625771076633e-005
Smn1,1.296,4.501,90.105,8.7929328927784e-7,4.5135625771076633e-005
Esrra,-1.696,3.062,89.955,8.868973604188488e-7,4.5247055023803e-5
Naa50,1.403,5.248,89.871,8.911589460008354e-7,4.5247055023803e-5
Il1r2,-2.534,3.994,89.775,8.960631231705293e-7,4.5247055023803e-5
Fnbp1,-1.616,8.919,89.68,9.009619912728533e-7,4.5247055023803e-5
Rps8,1.396,4.977,89.513,9.096343979881786e-7,4.5247055023803e-5
Apoc2,7.713,5.234,101.199,9.158502559633545e-7,4.5247055023803e-5
Abhd6,-2.671,5.259,90.965,9.198682618545869e-7,4.5247055023803e-5
Shfm1,1.316,7.35,89.306,9.205616200468378e-7,4.5247055023803e-5
Tsc22d4,-1.591,4.896,89.207,9.258237671099822e-7,4.5247055023803e-5
